log_time_ns,v_x,v_y,w_z,x,y,yaw
1701784587608770256,0.0,0.0,0.0,0.0,0.0,0.0
1701784588109529098,0.0,0.0,0.0,1.0,0.3,1.5
1701784590109733383,0.0,0.0,0.0,0.5,-0.3,-1.0
1701784592111913935,0.0,0.0,0.0,0.0,0.0,0.0
