log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,pose.orientation.roll,pose.orientation.pitch,pose.orientation.yaw,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.position.x,pose.position.y,pose.position.z
1701784585322360450,,321021556,1701784585,0.001304203283306413,0.010314295820947048,-0.007618455440501382,0.9999791979789734,0.0006717328215017915,0.005154602695256472,-0.0038125300779938698,-0.005383014678955078,-0.002649068832397461,0.0
1701784585326556135,,325188159,1701784585,0.0012145373268692555,0.00977881517358618,-0.007521800782129092,0.9999808073043823,0.0006256455089896917,0.004887068644165993,-0.0037638149224221706,-0.005275726318359375,-0.0025696754455566406,0.0
1701784585330629188,,329354763,1701784585,0.002286010750430701,0.009236254938139688,-0.0066466287362728135,0.9999831914901733,0.0011583339655771852,0.004614283796399832,-0.003328548977151513,-0.005148172378540039,-0.002621173858642578,0.0
1701784585334764602,,333521604,1701784585,0.001763254582151214,0.010233734912020623,-0.007677758911043975,0.9999791383743286,0.0009012520313262939,0.005113421007990837,-0.003843329381197691,-0.005293130874633789,-0.0026018619537353516,0.0
1701784585338835755,,337688207,1701784585,0.0016869739566876822,0.007760623418360779,-0.007391841167593803,0.9999853372573853,0.0008578159613534808,0.003877156414091587,-0.003699155757203698,-0.0052797794342041016,-0.002638578414916992,0.0
1701784585344666569,,341854810,1701784585,0.0009550825847116344,0.011851534438662157,-0.006168144021471136,0.9999776482582092,0.0004958059289492667,0.005924230441451073,-0.003086842130869627,-0.005377292633056641,-0.0026433467864990234,0.0
1701784585348200987,,346021413,1701784585,0.0014777899560484127,0.007013567244781864,-0.008230938872378711,0.9999850988388062,0.0007533160969614983,0.003503704909235239,-0.004118022508919239,-0.005283355712890625,-0.002618074417114258,0.0
1701784585351416436,,350188255,1701784585,0.0023034925741681443,0.003668645896301973,-0.00927999141729378,0.9999869465827942,0.0011602428276091814,0.0018289567669853568,-0.004642080515623093,-0.00529170036315918,-0.0024902820587158203,0.0
1701784585355319784,,354354858,1701784585,0.0033889048214727764,0.008603833060596533,-0.009620723924786762,0.999977707862854,0.0017151099164038897,0.004293696489185095,-0.00481758126989007,-0.005308389663696289,-0.0024802684783935547,0.0
1701784585359739580,,358521461,1701784585,0.005579612377301383,0.007357024131264778,-0.011701196001966039,0.9999722242355347,0.002811257028952241,0.0036621044855564833,-0.005860764067620039,-0.005373239517211914,-0.0024933815002441406,0.0
1701784585363839575,,362688064,1701784585,0.0029449209920929327,0.008920847086130338,-0.008134925795615599,0.9999807476997375,0.0014905754942446947,0.004454377572983503,-0.004073974210768938,-0.005334615707397461,-0.0025491714477539062,0.0
1701784585367899434,,366854906,1701784585,0.0002895389451963917,0.012059425310928327,-0.007418607736292066,0.9999749660491943,0.00016713168588466942,0.006029097363352776,-0.0037101006601005793,-0.00528717041015625,-0.002629995346069336,0.0
1701784585374577510,,371021509,1701784585,-0.0007398440021980731,0.007068861659827518,-0.007185095047529302,0.9999873042106628,-0.0003572197165340185,0.0035357291344553232,-0.003591209417209029,-0.005366086959838867,-0.0026085376739501953,0.0
1701784585376878694,,375188112,1701784585,0.0037764087463748913,0.0015700823915650514,-0.009704034662375589,0.9999861717224121,0.0018919893773272634,0.0007758688880130649,-0.004853470250964165,-0.005300283432006836,-0.002559185028076172,0.0
1701784585380829593,,379354953,1701784585,0.0030796043751649144,0.0054993397962297234,-0.010433076146332213,0.9999814033508301,0.0015541184693574905,0.002741593401879072,-0.005220722407102585,-0.005362033843994141,-0.002493619918823242,0.0
1701784585384493277,,383521556,1701784585,0.0023821905492367036,0.0060183219865203195,-0.009192087976980165,0.9999842643737793,0.0012049070792272687,0.003003648016601801,-0.0045995875261723995,-0.005258798599243164,-0.0024192333221435547,0.0
1701784585388656543,,387688159,1701784585,0.003399770658210439,0.008989248511960538,-0.009708965244788053,0.999976634979248,0.001721666194498539,0.004486297722905874,-0.004862047731876373,-0.005333900451660156,-0.002520322799682617,0.0
1701784585393023343,,391854763,1701784585,0.003720226298131709,0.007928911897880442,-0.01019545117904114,0.9999774694442749,0.0018802826525643468,0.003954904619604349,-0.00510502839460969,-0.00528717041015625,-0.002481698989868164,0.0
1701784585397068772,,396021604,1701784585,0.005050438187034337,0.008032992207937543,-0.00974378178178328,0.9999768733978271,0.0025447336956858635,0.004004122223705053,-0.004881958942860365,-0.005266666412353516,-0.0025081634521484375,0.0
1701784585404247114,,400188207,1701784585,0.003063303801806978,0.007338730543629278,-0.010770857855279651,0.9999775886535645,0.00155137968249619,0.0036610509268939495,-0.005390980280935764,-0.005369901657104492,-0.002438783645629883,0.0
1701784585406483589,,404354810,1701784585,0.003909414659588266,0.001731619179851104,-0.011335884551250624,0.999981701374054,0.001959581160917878,0.0008547147735953331,-0.005669591017067432,-0.0053522586822509766,-0.002516508102416992,0.0
1701784585410199414,,408521413,1701784585,0.003623051114738587,0.007681532894560128,-0.009456112391391274,0.9999797940254211,0.001829650136642158,0.003832142800092697,-0.00473495339974761,-0.0053288936614990234,-0.002630949020385742,0.0
1701784585413752052,,412688255,1701784585,-0.00016841457267004068,0.009788878590199591,-0.008270611062966577,0.9999794960021973,-6.396569369826466e-05,0.004894725978374481,-0.004134831950068474,-0.005232572555541992,-0.0025179386138916016,0.0
1701784585417976588,,416854858,1701784585,0.0018939094364607276,0.004821998805390715,-0.008949337213179543,0.9999866485595703,0.0009577306918799877,0.0024067345075309277,-0.004476921632885933,-0.005283355712890625,-0.0024476051330566406,0.0
1701784585422033149,,421021461,1701784585,0.002256216218663978,0.006168906590943446,-0.010488549344740276,0.9999809265136719,0.001144262496381998,0.003078487701714039,-0.005247701425105333,-0.005380868911743164,-0.0024292469024658203,0.0
1701784585426936928,,425188064,1701784585,0.004021293364400854,0.007504913954967684,-0.010860430864463148,0.9999761581420898,0.0020309779793024063,0.0037414671387523413,-0.005437684245407581,-0.0052967071533203125,-0.0024034976959228516,0.0
1701784585430940490,,429354906,1701784585,0.004867110370834431,0.007573216726906824,-0.009979232358460996,0.9999773502349854,0.0024523986503481865,0.0037743987049907446,-0.0049987598322331905,-0.00526118278503418,-0.0024864673614501953,0.0
1701784585436697385,,433521509,1701784585,0.0020843161349507707,0.006742079708852695,-0.009701631428188895,0.9999819993972778,0.0010584918782114983,0.003365936689078808,-0.004854279570281506,-0.005387783050537109,-0.0024633407592773438,0.0
1701784585439049497,,437688112,1701784585,0.002397230847477947,0.0014970598692767992,-0.009356379342413339,0.9999881386756897,0.0012021033326163888,0.0007429137476719916,-0.004679064732044935,-0.005338191986083984,-0.002460956573486328,0.0
1701784585442999616,,441854953,1701784585,0.0018521226867299595,0.005784848384537241,-0.009535217359956478,0.999984085559845,0.0009398366091772914,0.002887970767915249,-0.004770246800035238,-0.005282402038574219,-0.002628803253173828,0.0
1701784585447408810,,446021556,1701784585,0.00031533422239084,0.009047789320822364,-0.007823604551350505,0.9999821782112122,0.0001753607502905652,0.004523227456957102,-0.003912465181201696,-0.005241870880126953,-0.002523660659790039,0.0
1701784585451545796,,450188159,1701784585,0.003801214411858103,0.006150100094859617,-0.009337542364667367,0.9999825954437256,0.0019149328581988811,0.0030661325436085463,-0.004674567840993404,-0.005361795425415039,-0.002488374710083008,0.0
