log_time_ns,header.frame_id,header.stamp.nanosec,header.stamp.sec,pose.orientation.roll,pose.orientation.pitch,pose.orientation.yaw,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.position.x,pose.position.y,pose.position.z
1709651570790106321,,788520097,1709651570,-0.003243189728433675,0.0035757284625080707,-0.4870394931199614,-0.9704932570457458,0.0011426579440012574,-0.0021261086221784353,0.2411164790391922,-0.03706026077270508,0.0019214153289794922,0.0
1709651570793755081,,792686700,1709651570,-0.003032422467120624,0.0032934437642916353,-0.48612218209846003,-0.9706040024757385,0.0010753169190138578,-0.001963228452950716,0.24067182838916779,-0.03716397285461426,0.0018630027770996094,0.0
1709651570797541245,,796853303,1709651570,-0.003565533688004986,0.0035719098880578897,-0.486796463729359,-0.9705223441123962,0.001299797440879047,-0.002162958960980177,0.24099820852279663,-0.03730368614196777,0.0018799304962158203,0.0
1709651570802004299,,801019906,1709651570,-0.0039059976745415555,0.0036214951887654865,-0.4875301582544065,-0.9704335331916809,0.0014582187868654728,-0.002228581579402089,0.2413538098335266,-0.037431955337524414,0.0018873214721679688,0.0
1709651570806327112,,805186748,1709651570,-0.004445791839446066,0.0041936869688466594,-0.48835869455529063,-0.9703327417373657,0.0016500180354341865,-0.0025720419362187386,0.2417544275522232,-0.03757739067077637,0.0019118785858154297,0.0
1709651570812525330,,809353351,1709651570,-0.004038564263278877,0.003896149814421221,-0.4889356872711432,-0.9702634811401367,0.0014877254143357277,-0.002378891920670867,0.24203523993492126,-0.037703752517700195,0.001920938491821289,0.0
1709651570814380478,,813519954,1709651570,-0.004423857123492926,0.004258535688521076,-0.4897016199305557,-0.9701701402664185,0.0016297902911901474,-0.00260194786824286,0.24240586161613464,-0.037835121154785156,0.0019533634185791016,0.0
1709651570819089592,,817686557,1709651570,-0.004445793147096188,0.004273794277108423,-0.4904038045299853,-0.9700849652290344,0.0016376645071431994,-0.002612583339214325,0.24274641275405884,-0.03796052932739258,0.0019659996032714844,0.0
1709651570822722457,,821853399,1709651570,-0.0044696357457329255,0.004273794038825338,-0.49098372234783577,-0.9700145125389099,0.0016484707593917847,-0.0026159551925957203,0.24302765727043152,-0.03807854652404785,0.0019807815551757812,0.0
1709651570826420134,,826020002,1709651570,-0.004139655721468208,0.004029660865029471,-0.49162208325875495,-0.969937264919281,0.0015173102729022503,-0.0024579365272074938,0.24333800375461578,-0.038193464279174805,0.0019898414611816406,0.0
