log_time_ns,v_x,v_y,w_z,x,y,yaw
1700589581017225121,0.0,0.0,0.0,0.0,0.0,0.0
1700589581517869741,0.0,0.0,0.0,1.0,0.3,1.5
1700589583519968307,0.0,0.0,0.0,0.5,-0.3,-1.0
1700589585522067882,0.0,0.0,0.0,0.0,0.0,0.0
